timestamp,agent_id,status,last_heartbeat,messages_processed,errors_count,queue_size,average_processing_time_ms
2026-07-15T14:01:13.381557Z,supervisor@localhost,ready,2026-07-15T14:01:13.381557Z,858,0,0,1.982
2026-07-15T14:01:13.591093Z,maintenance@localhost,ready,2026-07-15T14:01:13.591093Z,22,0,0,13.668
2026-07-15T14:01:13.804536Z,rul@localhost,ready,2026-07-15T14:01:13.804536Z,22,0,0,361.301
2026-07-15T14:01:14.005882Z,diagnosis@localhost,ready,2026-07-15T14:01:14.005882Z,22,0,0,63.206
2026-07-15T14:01:14.179522Z,anomaly@localhost,ready,2026-07-15T14:01:14.179522Z,747,0,0,42.041
2026-07-15T14:01:14.394775Z,sensor@localhost,ready,2026-07-15T14:01:14.394775Z,0,0,0,0.0
2026-07-15T14:01:17.735143Z,historian@localhost,ready,2026-07-15T14:01:17.735143Z,1589,0,0,0.848
2026-07-15T14:01:17.943457Z,alert@localhost,ready,2026-07-15T14:01:17.943457Z,2,0,0,2.566
2026-07-15T14:01:18.158727Z,resource@localhost,ready,2026-07-15T14:01:18.158727Z,48,0,0,2.756
2026-07-15T14:01:18.360003Z,supervisor@localhost,ready,2026-07-15T14:01:18.360003Z,946,0,0,1.989
2026-07-15T14:01:18.577241Z,maintenance@localhost,ready,2026-07-15T14:01:18.577241Z,24,0,0,13.654
2026-07-15T14:01:18.783797Z,rul@localhost,ready,2026-07-15T14:01:18.783797Z,24,0,0,361.124
2026-07-15T14:01:19.012847Z,diagnosis@localhost,ready,2026-07-15T14:01:19.012847Z,24,0,0,63.143
2026-07-15T14:01:19.186989Z,anomaly@localhost,ready,2026-07-15T14:01:19.186989Z,824,0,0,42.01
2026-07-15T14:01:19.408728Z,sensor@localhost,ready,2026-07-15T14:01:19.408728Z,0,0,0,0.0
2026-07-15T14:01:22.735486Z,historian@localhost,ready,2026-07-15T14:01:22.735486Z,1758,0,0,0.863
2026-07-15T14:01:22.955738Z,alert@localhost,ready,2026-07-15T14:01:22.955738Z,2,0,0,2.566
2026-07-15T14:01:23.167561Z,resource@localhost,ready,2026-07-15T14:01:23.167561Z,50,0,0,2.753
2026-07-15T14:01:23.388356Z,supervisor@localhost,ready,2026-07-15T14:01:23.388356Z,1041,0,0,2.002
2026-07-15T14:01:23.596166Z,maintenance@localhost,ready,2026-07-15T14:01:23.596166Z,25,0,0,13.639
2026-07-15T14:01:23.769854Z,rul@localhost,ready,2026-07-15T14:01:23.769854Z,25,0,0,360.767
2026-07-15T14:01:23.985172Z,diagnosis@localhost,ready,2026-07-15T14:01:23.985172Z,25,0,0,62.92
2026-07-15T14:01:24.193453Z,anomaly@localhost,ready,2026-07-15T14:01:24.193453Z,909,0,0,42.025
2026-07-15T14:01:24.422642Z,sensor@localhost,ready,2026-07-15T14:01:24.422642Z,0,0,0,0.0
2026-07-15T14:01:27.756222Z,historian@localhost,ready,2026-07-15T14:01:27.756222Z,1894,0,0,0.874
2026-07-15T14:01:27.938161Z,alert@localhost,ready,2026-07-15T14:01:27.938161Z,2,0,0,2.566
2026-07-15T14:01:28.158781Z,resource@localhost,ready,2026-07-15T14:01:28.158781Z,56,0,0,2.747
2026-07-15T14:01:28.367075Z,supervisor@localhost,ready,2026-07-15T14:01:28.367075Z,1120,0,0,2.01
2026-07-15T14:01:28.582847Z,maintenance@localhost,ready,2026-07-15T14:01:28.582847Z,28,0,0,13.648
2026-07-15T14:01:28.797690Z,rul@localhost,ready,2026-07-15T14:01:28.797690Z,28,0,0,362.225
2026-07-15T14:01:29.019952Z,diagnosis@localhost,ready,2026-07-15T14:01:29.019952Z,28,0,0,63.061
2026-07-15T14:01:29.179665Z,anomaly@localhost,ready,2026-07-15T14:01:29.179665Z,976,0,0,41.973
2026-07-15T14:01:29.416100Z,sensor@localhost,ready,2026-07-15T14:01:29.416100Z,0,0,0,0.0
